erc20_token,erc20_from,erc20_to,erc20_value,erc20_tx_hash,erc20_log_index,erc20_block_number
0x744f580a064f76e5568681acf26eca8d38f0f9e1,0x732e69a7c3dd3e4d877d3b6c1c7e3c687c8c2bce,0x5d4958dcaee422106e33c25f5b44cd911d37de2a,1000,0xb115fb3553f763283089d90099fabdfb9e50944ba00e0372868d16a3f15802d1,9,807419
0xb7e74c6465a8f32832da5ab3c1d4fda9846e69a1,0x6d1ae86f0cff8687888cdd24a3c93b8910321c84,0x4bb64d958903ae78180d9fb39b3e87c75e13cad2,400000,0x5ba9e5543d9a238c03c46769847527e34cd87265075225a8fcd13cc9bc0e7ef6,0,811402
0x253d5902e135aee388e562a69cc3f7fdef4b4741,0xcc82b664c211106d03f2f513837280af890b79d0,0x2d80665502c1499322a4fc46c470522e9c7776a4,1000,0x6aeda17462526ebabf2791803acf5345ba906508e5c285e238dc34c79b2aaae0,4,810004
0x253d5902e135aee388e562a69cc3f7fdef4b4741,0xcc82b664c211106d03f2f513837280af890b79d0,0x7ba925d8aa511142bc583ed56990ea75f47e1dbc,1000000,0x41fa1c8520ec42b414700e34f0a092c35de2e6e68b78dccd278dd8d8505a0294,0,810024
0x7bdd870bb886a42fbae0ff7cc16d581f965c55bb,0x732e69a7c3dd3e4d877d3b6c1c7e3c687c8c2bce,0x732e69a7c3dd3e4d877d3b6c1c7e3c687c8c2bce,100,0xb244b6151598407c8cdcb277ee5f6ee84c3b2eacf0ea4192847e3842b4b5a8b7,4,810954
0x7bdd870bb886a42fbae0ff7cc16d581f965c55bb,0x732e69a7c3dd3e4d877d3b6c1c7e3c687c8c2bce,0x5d4958dcaee422106e33c25f5b44cd911d37de2a,100,0xbe397337e07e14426bb8b3a8966fa28d2c925d4bacf2b385670f8944818cd814,0,810968
0xa62d33e7cf4a3516ba8ebe02e087d08d15fa997e,0xd34b5946937c7ac213d3c059eb81cc4588e8ffb8,0xbf55ad9d784bacbc9db25769313ce3ad6fcbcf46,100000,0x7a4b0d95642e5e7d4113b25ffbf6415ee184e4e2690b892665b3d5b886de9264,1,823712
0x02509c89a9995d60b232da2c5d5253ac8a4f4184,0xbf55ad9d784bacbc9db25769313ce3ad6fcbcf46,0xd34b5946937c7ac213d3c059eb81cc4588e8ffb8,4200,0x77258c3e8d96ed9f9e8c39666afb1bc9cb090289255c0e55df3feff9bf18eaec,4,823715
0x02509c89a9995d60b232da2c5d5253ac8a4f4184,0xbf55ad9d784bacbc9db25769313ce3ad6fcbcf46,0xd34b5946937c7ac213d3c059eb81cc4588e8ffb8,1400,0x20f453fdffda45b35e0f90c6143d27d62670b1b2277d9678adeafd5516eb6f02,0,823739
0xa62d33e7cf4a3516ba8ebe02e087d08d15fa997e,0xd34b5946937c7ac213d3c059eb81cc4588e8ffb8,0xbf55ad9d784bacbc9db25769313ce3ad6fcbcf46,100,0xca7ffa91624345c2a913bb36c5399695b6c7b93881d47b1425764f579777197a,1,823739
